rank,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Precious Achiuwa,PF,21,MIA,7,0,15.6,2.9,5.0,.571,0.0,0.0,,2.9,5.0,.571,.571,1.6,3.0,.524,1.7,3.0,4.7,0.9,0.3,0.4,1.3,2.4,7.3
2,Jaylen Adams,PG,24,MIL,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Steven Adams,C,27,NOP,8,8,30.6,4.4,6.6,.660,0.0,0.0,,4.4,6.6,.660,.660,1.3,2.6,.476,3.5,5.6,9.1,2.6,1.6,0.8,1.9,1.9,10.0
4,Bam Adebayo,C,23,MIA,7,7,31.7,7.1,11.0,.649,0.0,0.0,,7.1,11.0,.649,.649,4.3,5.3,.811,1.1,6.9,8.0,5.1,1.1,1.0,3.3,2.3,18.6
5,LaMarcus Aldridge,C,35,SAS,5,5,26.8,6.6,14.4,.458,1.4,4.8,.292,5.2,9.6,.542,.507,1.0,1.2,.833,0.8,4.0,4.8,2.2,0.2,0.8,1.2,1.8,15.6
6,Ty-Shon Alexander,SG,22,PHO,2,0,2.5,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0
7,Nickeil Alexander-Walker,SG,22,NOP,6,0,14.8,3.2,8.2,.388,1.0,3.7,.273,2.2,4.5,.481,.449,1.0,1.0,1.000,0.3,1.5,1.8,1.3,1.0,0.2,1.2,1.7,8.3
8,Grayson Allen,SG,25,MEM,7,4,19.7,1.1,4.6,.250,1.0,3.9,.259,0.1,0.7,.200,.359,1.1,1.3,.889,0.7,1.6,2.3,2.0,0.7,0.1,0.7,0.6,4.4
9,Jarrett Allen,C,22,BRK,9,2,24.4,3.6,5.0,.711,0.0,0.0,,3.6,5.0,.711,.711,4.1,5.6,.740,3.8,7.8,11.6,1.1,0.6,1.7,1.7,1.7,11.2
10,Kyle Anderson,PF,27,MEM,8,8,31.0,5.6,13.4,.421,1.6,5.6,.289,4.0,7.8,.516,.481,2.1,2.5,.850,1.1,6.8,7.9,3.3,0.4,0.6,2.5,1.9,15.0
11,Giannis Antetokounmpo,PF,26,MIL,8,8,31.3,9.1,17.5,.521,1.3,5.0,.250,7.9,12.5,.630,.557,6.6,10.8,.616,1.9,9.0,10.9,5.4,1.4,0.9,3.5,3.4,26.1
12,Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
13,Thanasis Antetokounmpo,SF,28,MIL,7,0,11.1,1.4,2.1,.667,0.1,0.6,.250,1.3,1.6,.818,.700,0.3,0.3,1.000,0.7,1.0,1.7,1.1,0.3,0.1,1.1,2.0,3.3
14,Carmelo Anthony,PF,36,POR,7,0,24.3,3.6,8.7,.410,1.6,3.6,.440,2.0,5.1,.389,.500,3.3,3.6,.920,0.3,3.3,3.6,1.1,0.7,0.1,0.9,2.3,12.0
15,Cole Anthony,PG,20,ORL,8,0,21.5,2.9,9.5,.303,0.5,2.6,.190,2.4,6.9,.345,.329,2.4,2.5,.950,1.3,3.6,4.9,3.4,0.4,0.3,1.1,1.8,8.6
16,OG Anunoby,SF,23,TOR,7,7,35.3,4.4,9.4,.470,1.7,5.9,.293,2.7,3.6,.760,.561,2.3,3.3,.696,1.4,4.6,6.0,1.6,1.9,0.6,1.4,3.1,12.9
17,Ryan Arcidiacono,PG,26,CHI,2,0,14.0,1.5,4.5,.333,0.5,2.5,.200,1.0,2.0,.500,.389,1.5,1.5,1.000,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0
18,D.J. Augustin,PG,33,MIL,7,0,17.1,2.0,5.0,.400,1.6,3.6,.440,0.4,1.4,.300,.557,1.1,1.1,1.000,0.4,1.1,1.6,2.7,0.4,0.0,1.0,0.7,6.7
